ID,Type,Instance of,Relations,Data facts
http://n2t.net/ark:/21547/Q2MBIO221.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO221,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO221.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO221,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO222.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO222,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO222.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO222,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO222.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO222,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO223.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO223,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO223.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO223,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO223.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO223,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO77.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO77,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO77.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO77,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO77.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO77,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO78.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO78,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO78.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO78,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO224.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO224,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO78.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO78,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO224.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO224,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO79.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO79,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO79.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO79,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO79.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO79,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO80.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO80,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO80.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO80,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO80.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO80,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO224.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO224,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO226.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO226,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO226.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO226,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO226.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO226,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO227.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO227,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO227.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO227,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO227.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO227,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO228.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO228,"dwc:preservative ""95% ethanol"""
